x,y,Housing,Cost of Living,Commute,Business Freedom,Safety,Education,Environmental Quality,Economy,Clusters
-0.5768854365399854,4.586300595609064,10,10,6,6,6,4,4,8,2
1.1786094728674636,-8.351892291529975,4,2,4,8,10,8,8,4,0
-3.7475706004007896,6.155449222243839,8,10,4,10,6,2,2,6,2
7.731048725937907,5.997330975581575,6,2,4,4,8,2,2,6,0
2.984058438164516,6.382338567493124,10,8,2,4,10,4,8,6,1
2.9625360364836753,2.8238320555845697,8,6,6,8,4,4,6,8,1
2.120227266793056,-6.8818043209699145,6,2,6,10,10,8,10,8,0
-1.0423872802129488,-1.2022404838961436,8,6,6,10,8,6,6,6,1
-2.6141441034567046,-2.3194680520007105,10,6,8,10,8,6,10,6,1
-1.3961573567721786,1.4301555698287385,8,6,4,10,8,6,6,6,1
-3.8612774836808192,5.5932488353170395,10,10,6,10,6,2,4,4,2
-0.5404934779201133,1.522515207656351,8,8,6,6,10,6,8,4,1
-1.1630582826886975,-1.1277816765166657,8,8,6,10,8,6,8,6,1
-3.522652861879908,-2.243902591211281,10,8,6,10,10,6,10,6,1
5.304719112258739,-5.92203491124953,2,4,6,8,8,10,6,6,0
5.802632762321644,-5.031734691681561,2,6,4,10,6,10,6,8,0
2.6626026046270215,2.4837738238492815,8,8,2,10,4,4,8,8,1
1.5447381783053662,-6.2405250083624235,4,4,6,10,10,4,10,8,0
-6.971055858540429,4.2661773939936465,10,10,6,8,8,2,6,2,2
1.6285375936908384,0.5891082672036183,8,6,6,6,8,6,8,6,1
0.18937587435664308,-3.3713941119647437,6,8,6,10,8,6,10,8,1
-1.6429359909863437,-0.26013929917994943,8,8,6,10,8,6,6,6,1
-2.6874878789163494,-0.3278589194350238,10,8,6,8,8,4,10,6,1
-0.022262753589541988,-1.5039065223092771,8,6,6,8,8,4,10,6,1
9.053403760169292,3.4734451707855505,6,2,2,10,8,2,4,4,0
2.1364952354906768,1.838170446400908,8,6,6,6,8,6,6,6,1
-4.76740289508026,5.79966774303004,10,10,4,10,8,2,2,6,2
0.9885634867719901,3.679034397127811,8,8,6,6,6,6,4,6,1
-4.5586273496517045,2.429276268416641,10,10,6,10,8,2,8,6,2
2.114474424829094,-2.710411656608453,6,6,6,8,8,8,8,8,1
3.232196605362144,3.952283168616875,8,6,2,10,4,4,6,8,1
-3.8135814609416587,5.167660067613614,10,10,4,10,6,2,4,4,2
4.8902232507071455,-1.0859705257792338,4,6,6,6,6,6,8,8,0
-1.0595702638800735,-0.2075032669393432,6,6,6,10,8,6,6,4,1
2.7996476939409702,-0.10653796315770482,8,6,6,8,6,6,8,8,1
2.187932773530163,-2.806270716196741,6,6,6,10,6,6,10,8,1
-6.6800337604558715,1.4701168571392835,10,10,6,10,10,2,8,4,2
-0.680381018559439,3.6609929920453674,10,8,6,6,6,2,6,6,2
-1.1876386118350943,-2.9391384757597607,8,6,6,8,8,8,8,6,1
-2.8991735359810953,0.7606428438096637,8,10,6,10,8,6,6,4,1
-2.3605954162596245,7.068149264523418,10,10,4,6,8,2,4,6,2
5.455993728019924,-3.9787761046175047,6,6,8,4,10,8,10,6,1
-4.27508871955653,4.559184055326871,10,10,6,10,6,2,4,6,2
2.194033403309443,2.684960884354631,8,6,6,4,8,6,8,6,1
-1.5499570071450501,4.000058286527042,10,6,6,10,8,6,2,4,2
3.0237223174925294,-0.8897567008780948,6,6,6,8,6,6,8,8,1
4.569430574376963,0.9624201565277805,6,6,6,10,4,6,6,8,1
5.0649330986674075,-6.518522369533185,2,4,6,10,8,10,6,8,0
-1.082453720521698,-1.5157418912390634,8,6,8,10,8,6,8,6,1
-3.4655872653088946,2.402685814444927,10,8,6,10,10,4,4,4,2
